Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,.01,.04,.07,-.01,-.12,-.24,-.16,.07,-.04,-.14,.01,.06,-.04,***,***,-.02,-.11,-.06
1881,-.07,-.05,.10,.10,.10,-.05,-.07,-.01,-.03,.01,.01,.10,.01,.01,-.02,.10,-.04,-.01
1882,.08,.08,.08,-.01,-.03,-.15,-.04,.02,-.04,.04,.00,-.06,.00,.01,.09,.01,-.06,.00
1883,-.01,-.07,-.08,-.06,-.09,-.02,-.08,-.05,-.10,-.05,-.04,-.05,-.06,-.06,-.05,-.08,-.05,-.06
1884,-.08,-.05,-.09,-.21,-.31,-.29,-.21,-.06,-.11,-.06,-.10,-.14,-.14,-.13,-.06,-.20,-.19,-.09
1885,-.19,-.22,-.29,-.35,-.32,-.42,-.33,-.22,-.19,-.12,-.10,-.09,-.24,-.24,-.18,-.32,-.32,-.14
1886,-.13,-.19,-.16,-.19,-.15,-.31,-.21,-.18,-.14,-.23,-.14,-.28,-.19,-.18,-.14,-.17,-.23,-.17
1887,-.36,-.43,-.27,-.30,-.34,-.27,-.26,-.16,-.29,-.21,-.24,-.22,-.28,-.29,-.36,-.30,-.23,-.25
1888,-.20,-.12,-.21,-.19,-.28,-.31,-.20,-.09,-.04,.07,.07,.15,-.11,-.14,-.18,-.23,-.20,.03
1889,.09,.04,.13,.03,.02,-.13,-.06,-.19,-.17,-.09,-.05,-.03,-.03,-.02,.09,.06,-.13,-.10
1890,-.20,-.32,-.33,-.34,-.43,-.32,-.32,-.38,-.38,-.39,-.24,-.16,-.32,-.31,-.18,-.37,-.34,-.34
1891,-.20,-.25,-.20,-.19,-.17,-.28,-.23,-.22,-.23,-.15,-.10,-.05,-.19,-.20,-.20,-.18,-.24,-.16
1892,-.08,-.05,-.13,-.21,-.23,-.38,-.25,-.21,-.13,.00,-.03,-.11,-.15,-.15,-.06,-.19,-.28,-.05
1893,-.12,-.17,-.11,-.24,-.24,-.32,-.14,-.17,-.16,-.08,-.03,-.02,-.15,-.16,-.13,-.20,-.21,-.09
1894,-.13,-.15,-.23,-.35,-.34,-.40,-.26,-.20,-.22,-.17,-.03,-.06,-.21,-.21,-.10,-.31,-.28,-.14
1895,-.12,-.05,-.16,-.24,-.23,-.21,-.14,-.06,-.18,-.11,-.20,-.05,-.15,-.15,-.08,-.21,-.14,-.16
1896,-.07,-.06,-.03,-.01,-.14,-.28,-.04,.01,-.01,.10,.13,.13,-.02,-.04,-.06,-.06,-.10,.07
1897,.10,.08,.12,.01,-.15,-.16,-.07,-.11,-.10,-.09,-.09,-.12,-.05,-.03,.10,-.01,-.11,-.09
1898,-.09,-.15,-.23,-.33,-.33,-.29,-.32,-.36,-.25,-.31,-.25,-.20,-.26,-.25,-.12,-.29,-.32,-.27
1899,-.19,-.12,-.13,-.17,-.22,-.27,-.15,-.10,-.04,-.11,-.09,-.06,-.14,-.15,-.17,-.17,-.17,-.08
1900,-.09,.03,-.04,-.07,-.12,-.09,-.12,-.07,-.06,-.01,.01,-.09,-.06,-.06,-.04,-.08,-.09,-.02
1901,-.10,-.12,-.14,-.15,-.18,-.24,-.28,-.24,-.17,-.26,-.12,-.14,-.18,-.17,-.10,-.15,-.25,-.18
1902,-.18,-.14,-.17,-.18,-.24,-.22,-.22,-.30,-.23,-.26,-.25,-.22,-.22,-.21,-.15,-.20,-.25,-.25
